"SYMBOL","logFC","AveExpr","t","p_value","adj_p_value","B","threshold"
"CCR9",-0.576219435043419,5.36299486427119,-4.63415068151509,1.9283407563962e-05,0.183651709898706,2.02764475580647,"Not_significant"
"PAICS",-0.213227669620613,6.87523008129943,-4.46636845323407,3.49606549812523e-05,0.183651709898706,1.57671630725878,"Not_significant"
"LTB",-0.330196761815795,11.8461301949153,-4.35433413725336,5.17419264787984e-05,0.183651709898706,1.27931089043892,"Not_significant"
"MSR1",0.297970711883885,3.86429431265254,4.30610799317091,6.11708679977651e-05,0.183651709898706,1.1522687436729,"Not_significant"
"HPCAL4",-0.460090643876971,6.7039866395339,-4.22151607319401,8.1880794173326e-05,0.183651709898706,0.930925280061501,"Not_significant"
"RSL1D1",-0.23139958292763,8.04826354254802,-4.18690193424393,9.2186502057728e-05,0.183651709898706,0.840922539586352,"Not_significant"
"IGHV5-78",-0.397033302825,6.14258597144068,-4.16722379534308,9.85936014488028e-05,0.183651709898706,0.789907325594239,"Not_significant"
"NOP53",-0.199452563131572,13.7956276759322,-3.92964017572401,0.000219247207631451,0.279611905302871,0.183133579822115,"Not_significant"
"NUCKS1",-0.232349929748677,10.4281507478729,-3.88760145670421,0.000251942488362435,0.279611905302871,0.0776300208187619,"Not_significant"
"SLC25A20",0.389332172955267,9.73250648045763,3.8706867740087,0.000266378155533937,0.279611905302871,0.0353459441417847,"Not_significant"
"ZNF669",-0.268385263755262,6.98167516808475,-3.84524242870397,0.000289599075623247,0.279611905302871,-0.0280785995206418,"Not_significant"
"ZNF652",-0.590290580494737,7.90324498616949,-3.83020193773099,0.000304226086974539,0.279611905302871,-0.0654656520591654,"Not_significant"
"CBX5",-0.263057158730922,8.89931095744068,-3.81349668806429,0.000321302478115707,0.279611905302871,-0.106899405486626,"Not_significant"
"SIMC1P1",-0.315451996171053,7.74394895330509,-3.80965989461431,0.000325352346561674,0.279611905302871,-0.116402062057676,"Not_significant"
"SQOR",0.228627066736843,12.4307114064407,3.80412144957135,0.000331284781050562,0.279611905302871,-0.130110179412826,"Not_significant"
"CCZ1",0.169479012853948,8.33949806258475,3.77640641278682,0.000362562733754347,0.279611905302871,-0.198545584990394,"Not_significant"
"LRCH3",-0.30297964148158,8.30204449720339,-3.77472158281503,0.000364552679664761,0.279611905302871,-0.202697116434001,"Not_significant"
"IRAK3",0.339477568690789,10.3240163550424,3.72392401322665,0.000429706217532403,0.310749376916902,-0.327389120222461,"Not_significant"
"SCAI",-0.453368731801311,6.71965144979661,-3.70024869036557,0.000463747465920364,0.310749376916902,-0.385185476221388,"Not_significant"
"URB1",-0.195557320832894,5.30793408736158,-3.69170977261281,0.000476646026408316,0.310749376916902,-0.405980287910878,"Not_significant"
"MEGF9",0.302043208375007,11.5483876065254,3.64483573168499,0.00055378369307256,0.328538497159445,-0.519650127068154,"Not_significant"
"HERPUD1",0.186438682960532,11.9243176728814,3.63614769487965,0.000569332462498631,0.328538497159445,-0.540628099996123,"Not_significant"
"LPL",0.528312252495398,5.09196738864407,3.6217101333036,0.000596096005543368,0.328538497159445,-0.575425436814415,"Not_significant"
"PDE5A",0.45548490092237,6.27314406371186,3.61719023503059,0.000604718454776186,0.328538497159445,-0.586302948960189,"Not_significant"
"NPAS2",-0.219666566393682,5.02122232358305,-3.58593143006557,0.000667686771536139,0.338346528198923,-0.66131514970924,"Not_significant"
"CORO2B",-0.769350777903947,5.61074074484746,-3.58264005959914,0.000674669049250096,0.338346528198923,-0.669191534422938,"Not_significant"
"COX16",-0.360434372813154,8.27812974861017,-3.53137230158494,0.000792820538750282,0.359251894494307,-0.791330016510014,"Not_significant"
"ZNF500",-0.205636526265788,6.94947504957062,-3.51189173115424,0.000842676706990227,0.359251894494307,-0.837467100529628,"Not_significant"
"MAN1C1",-0.364850447707231,7.70092598966102,-3.49381318620039,0.000891598043464497,0.359251894494307,-0.880147514694901,"Not_significant"
"ETFDH",0.253295231157235,8.47335516555085,3.48775229737087,0.000908594270430394,0.359251894494307,-0.89442672828322,"Not_significant"
"LOC389906",-0.444998376618419,4.14682439671186,-3.47443488356893,0.000947026317916591,0.359251894494307,-0.925749652720894,"Not_significant"
"CD248",-0.348232098961841,6.86261023911864,-3.45582242505122,0.00100333087578933,0.359251894494307,-0.969405385389568,"Not_significant"
"IL18R1",0.504120751950007,9.70910838298305,3.45319951692238,0.0010115161482975,0.359251894494307,-0.975546021847028,"Not_significant"
"C10orf95",-0.171051181411839,6.89576656008475,-3.4527744342921,0.00101284864598374,0.359251894494307,-0.976540939903968,"Not_significant"
"PLBD1",0.174166257802632,12.8105433977966,3.44480093332257,0.00103815356930408,0.359251894494307,-0.995189346232033,"Not_significant"
"TRIP12",0.223835345421055,11.8984621681356,3.44451065106842,0.00103908603027164,0.359251894494307,-0.995867762733735,"Not_significant"
"ZNF205-AS1",-0.29621035948816,5.20419193055932,-3.44366817482875,0.00104179677786152,0.359251894494307,-0.997836510520604,"Not_significant"
"PCTP",0.251812285968423,10.4192418465085,3.44206305039966,0.00104697998242071,0.359251894494307,-1.00158664717241,"Not_significant"
"CYB5A",-0.21982918005197,7.38487908205085,-3.42263704836371,0.00111167912960465,0.37167138899782,-1.04688792338511,"Not_significant"
"NRDC",0.162498758881584,12.2639033374576,3.40132678897555,0.001187003441594,0.380792246983218,-1.09640216958874,"Not_significant"
"N4BP3",-0.282130886660526,5.91459701081356,-3.39849528186751,0.00119736805938431,0.380792246983218,-1.10296680774311,"Not_significant"
"IGHD",-0.53532878409079,7.59918972694068,-3.35011156011695,0.00138826495596744,0.430990160972844,-1.21461529358645,"Not_significant"
"ZNF764",-0.205250697802629,8.08812844959322,-3.33717866454885,0.00144396598287479,0.433308042790203,-1.24428904934948,"Not_significant"
"VPREB3",-0.552710724927628,6.88857675950847,-3.33304848636996,0.00146219448445195,0.433308042790203,-1.25375027548669,"Not_significant"
"FLT3LG",-0.357514683986844,9.16824956163559,-3.31337838247475,0.00155202897538741,0.434952317471143,-1.29870803615969,"Not_significant"
"ID3",-0.298649204584208,8.28173623267797,-3.29854980483569,0.00162316757440272,0.434952317471143,-1.33248841630853,"Not_significant"
"CYP1B1",0.381737422468094,8.53418659419492,3.29650822872767,0.00163319928309983,0.434952317471143,-1.33713169352815,"Not_significant"
"ACACA",-0.190963977609868,7.12016565598305,-3.29355877114128,0.00164779532540263,0.434952317471143,-1.34383658166747,"Not_significant"
"RGS2",0.150561378013158,13.4870602552542,3.28746501009344,0.0016783420144255,0.434952317471143,-1.35767715534549,"Not_significant"
"CD163",0.33775367691228,9.2797540930904,3.27536404361915,0.0017405903737418,0.434952317471143,-1.38511307506471,"Not_significant"
"BTNL3",1.73553673014342,7.66501883691525,3.27088106832957,0.00176419840977716,0.434952317471143,-1.39526062849826,"Not_significant"
